index,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,ground_service,value_for_money,recommended,overall_rating,review,year,month,sentiment,month_year,Season,From,To
10,Solo Leisure,Economy Class,London to Bangkok via Stockholm,2024-03-01,4.0,5.0,4.0,4.0,4.0,5,yes,8.0,"  Read a lot of very negative reviews of SAS. It's not the same service as Emeriates or Qatar but it doesn't claim to be it various different levels of service depending on ticket choice. SAS smart, SAS go etc enables you travel light or a full service. I flew LHR to Stockholm A320Neo, Stockholm to Copenhagen A320Neo Copenhagen to Bangkok A350. On my short haul flights I had tea or coffee complementary bags included. On my long haul leg from Copenhagen to Bangkok there were 2 meal services & free soft drinks & water. Alcoholic beverages had to be paid. for All this for a total cost of £286 from LHR to Bangkok. All flights were on time. Staff I found were all good & friendly. Apart from one grumpy lady. So all in all was ok for me. Would fly with them again. I suppose a good way to describe them is you pay for what you get.",2024.0,3.0,Positive,2024-03,Spring,London,Bangkok
11,Solo Leisure,Economy Class,Amsterdam to Stockholm,2024-03-01,5.0,5.0,1.0,1.0,5.0,5,no,6.0, I appreciate that coffee and tea are complimentary. For drinking water you have to pay!  Probably SAS doesn't know yet that flight and coffee and tea dehydrate!,2024.0,3.0,Positive,2024-03,Spring,Amsterdam,Stockholm
12,Couple Leisure,Economy Class,Tromso to Oslo,2024-03-01,1.0,1.0,1.0,1.0,1.0,1,no,1.0,"  Extremely long waiting time for bags, no staff to unload the bags is the reason. All the customers can see the aircraft and clearly see that there are no staff unloading the bags. Very disappointed performance by SAS.",2024.0,3.0,Negative,2024-03,Spring,Tromso,Oslo
13,Business,Business Class,Copenhagen to Oslo,2024-03-01,2.0,2.0,2.0,1.0,1.0,2,no,1.0," It started badly, with the boarding announcement not audible. It continued worse, with the automated boarding gates not functioning. We were then asked to board even though the plane was not ready so we had to stand outside in the rain. Due to the size of the plane most baggage did not fit in overhead compartments. But most of the passengers did not receive a tag saying leave at door. Boarding slow due to the chaos. Totally disinterested girl at boarding. Totally disinterested crew on board.",2024.0,3.0,Negative,2024-03,Spring,Copenhagen,Oslo
14,Family Leisure,Economy Class,Milan to Copenhagen,2024-02-01,2.0,1.0,1.0,1.0,1.0,2,no,1.0," Terrible ground staff for this airline. We arrived early to check in at the counter at FlySas in Milan airport. When we arrived, the Plus/ business counter was empty so the lady there signaled us to come forward for check in. During check in, she insisted that we do not have Schengen visa for denmark but just the spain visa. We told her our visas are Schengen visa granted by Spain embassy and she gave the attitude of no we were wrong by shaking her head and said “no, no”. She then checked again and then realised we actually did have the Schengen visa. We were a group of 3 people with 4 luggages (2 checkins and 2 carryons). I purchases Go smart packgage for 2 people (1 checkin and 1 carry on each) and my sister with Go light (no luggage). The counter lady kept asking if my sister had no luggage and she said no (my sister really didnt). As we arrived at the boarding gate, I was tired and asked my sister to help carry the carry on luggage, thinking that she can help since my ticket has the carry on baggage. The same counter lady noticed that I didnt have a carry on when I boarded but say nothing and immediately stopped my sister when she boarded. She demanded my sister to pay. I said that the luggage was mine and I am eligible for the carry on but she kept saying that we are doing tricky things and threatened to cancel our tickets. I am very puzzled by this because why would my ticket be cancelled because of a carry on. I tried to reason with her but to no avail. She was loud and persistent in saying that my sister and me were trying to do something bad. I know what it was my mistake to not take the luggage on my own but scolding and threatening us were uncalled for. I really felt that I was being picked on from the moment we checked in. I felt so bad. Nonetheless, to avoid missing the flight, I paid the 29 euro fee. Big lesson to learn. Bad airline, acussing staff with no way to reason with. Avoid at all cost!",2024.0,2.0,Negative,2024-02,Winter,Milan,Copenhagen
15,Solo Leisure,Economy Class,Alta to Oslo,2024-01-01,1.0,1.0,1.0,1.0,1.0,1,no,1.0,"  I recently had the unfortunate experience of flying with SAS and, to put it mildly, it was nothing short of a financial nightmare. The airline not only failed to provide reasonable service but also managed to squeeze every penny out of my wallet with their outrageous and unjust overcharging policies. My frustration began when I checked in with an ""oversized bag"" for the return flight (same as first flight). The dimensions of my bag were well within the limits specified by SAS for an underseat bag. However, it seems like the staff at desk has magical eyes with ruler integrated that somehow transformed my perfectly acceptable bag into an oversized monstrosity, at least in their eyes. I had the perfect 40 cm x 30 cm x 15 cm (length x width x depth). To add insult to injury, the customer service was absolutely abysmal. Instead of addressing my concerns and providing a reasonable explanation, the SAS staff seemed more interested in brushing off my complaints and deflecting blame. It's disheartening to see a company show such blatant disregard for their customers' satisfaction. Btw, 2 hours delay. Lovely experience. Good thing I expected that from a mediocre company and i planned everything right to get to connect flight on time ""The fee is only charged in the event that the under-seat bag is bigger than the maximum size allowed. As this is the only case in which the fee is charged we have decided to uphold our decision to not reimburse the fee."" But good thing that they forwarded my complain. See you never again SAS.",2024.0,1.0,Neutral,2024-01,Winter,Alta,Oslo
16,Solo Leisure,Economy Class,Bangkok to Copenhagen,2024-01-01,2.0,1.0,1.0,1.0,1.0,2,no,2.0,"  Did a online check-in, but despite that the line and open counters at the airport was an disaster. The bag drop took 1,5h with 10 people ahead of me. All with tags and online done prior queuing up. During the 12h20min flight the staff was only seen during a very uninspiring meal service. 1,5h after takeoff and 2h before landing they were in the cabin. The rest of the flight they were gone. No additional water offered during this long flight. I was looking into premium economy and was happy not getting an upgrade against the points. It would not be worth it . Seats were not much different and the same disappearing act was done by the stewardesses in the premium cabin. The only positive I have to say is that the plane was new and clean, but the staff and service was awful. Not even soft drinks or water was offered free of charge ( if you could get hold of it) The movies offered was old and not very organised.",2024.0,1.0,Neutral,2024-01,Winter,Bangkok,Copenhagen
17,Family Leisure,Economy Class,Zurich to Tromsø via Oslo,2023-12-01,1.0,1.0,1.0,1.0,1.0,1,no,1.0,"  I rarely write reviews but I have taken time to write this one because they are just ridiculously terrible. Flights delayed twice, first from OSL to TOS, they changed my flight from 2 stops to 3 stops last min, I had no choice but accept the change. Then it happened again when I returned from OSL to Zurich, they delayed the first leg, caused me to miss the second flight in OSL, we had waited in a long line in OSL to get rebooked, I was in the line for 2 hours! We were forced to stay at OSL airport hotel over night, ruined my entire schedule, then now I just received email from SAS refusing to compensate the hotel cost and food, the excuse they give is that this delay was out of their control. I was told by the SAS Rep at OSL airport to book a hotel and reimburse later, now they refuse to even compensate for the inconvenience caused by them. Avoid this airline at all cost!",2023.0,12.0,Negative,2023-12,Winter,Zurich,Tromsø
18,Couple Leisure,Economy Class,Manchester to Tromsø via Oslo,2023-12-01,2.0,1.0,1.0,1.0,1.0,3,no,2.0," I shall do everything I can to avoid flying with this airline again. I should have read the reviews but mistakenly thought they'd be good. What an error. I have flown 16 times this year (about my norm) and I have to say that the crew, particularly on the Tromsø to Oslo flight was the rudest I have ever encountered. I was already stressed as the plane was delayed at least half an hour and my brother had contacted me to say my 97 year old father was very ill. Having Emergency exit seats we obviously didn't have any items with us on seating but, once in the air, my partner handed me a few things, including my very expensive Sony, wireless, mouse cancelling headphones. I didn't really want them and out them in the seat pocket. On landing the Gate wasn't ready and we sat on the runway. Anxious to find out what had been happening with my father I thought I'd see if the airport WiFi extended as far as the plane. Brilliantly it did so I entered into a WhatsApp conversation with my brother. This delayed me leaving my seat so I was one of the last to disembark. When we got to the hotel I was really upset to find I had left the headphones in the seat pocket. They have disappeared. So... as I know they were there (seat 12A) the crew at the very least didn't do their job and check seat pickets, or, alternatively, stole the headphones! Once at the hotel myself and a member of staff there spent an hour trying to contact SAS yet it seemed impossible to alert them immediately. I had to fill in ridiculous forms and then went to Lost and Found 2 days later. No headphones. Repeated this process for Stavanger, the plane's next destination, with the same outcome. Totally inexcusable as they were there at the end of the flight. To reinforce my view of SAS we were due to fly out of Oslo 3 days later. We had our boarding cards and were waiting to be called to the Gate when we had a text telling us the flight was cancelled!! It took us 5 hours to try and find ourselves a solution to the mess created. As above I was very anxious to get home by this time and alternate seats were offered 2 days later on Christmas Eve evening. Would that flight have been cancelled, too? In the end we booked ourselves a train to Stockholm and flew back from there 24 hours later. SAS staff at Oslo were frazzled and, again, rude! Too many people and not enough staff. We had to wait nearly an hour to get our luggage back and gave up and booked our own hotel as the length of the queue and speed it was moving woukd probably have meant we wouldn't have had a bed for the night! No apologies. No clarity as to why the flight had been cancelled. The ticket mavhine that allocated a place in the queue was out of paper and no one seemed to want to resolve this. Just a shambles!",2023.0,12.0,Negative,2023-12,Winter,Manchester,Tromsø
19,Family Leisure,Premium Economy,Kiruna to Stockholm,2023-12-01,1.0,2.0,3.0,1.0,1.0,2,no,5.0,"  The aircraft was a newer A320 with the same uncomfortable hard seats as what we flew up to Kiruna on. Kiruna Airport did not have a lounge so we had no lounge access. On board, the crew were a younger crew who served the food then were more interested in spending time chatting. One crew member was making far too many announcements in both Swedish and English and his voice was beginning to get annoying. We were in SAS plus and were provided with a Scandinavian style cheese bread which was adequate. We arrived and left the aircraft 10 minuted early, but it took nearly an hour for our bags to be delivered.",2023.0,12.0,Neutral,2023-12,Winter,Kiruna,Stockholm
20,Family Leisure,Premium Economy,Stockholm to Kiruna,2023-12-01,1.0,5.0,3.0,1.0,5.0,3,no,7.0,"  We flew in SAS Plus. The lounge was great and great service. On board, we had an older mature cabin crew who were great and did a great (and professional) job looking after the passengers, including dealing with a medical emergency. A we were in SAS plus, we were provided with some food and drinks. The seats were very hard and uncomfortable (a wooden seat would have felt the same). I pity anyone flying on these aircraft for longer than 90 mins. We landed early and fast and our luggage was delivered promptly.",2023.0,12.0,Positive,2023-12,Winter,Stockholm,Kiruna
21,Solo Leisure,Economy Class,Boston to Copenhagen via Hamburg,2023-12-01,1.0,1.0,1.0,3.0,2.0,2,no,2.0,"  My host booked my flights with the Lufthansa because I wanted to avoid airlines such as SAS. This is due to my past bad experiences. Long-distance LH flights are better than such SAS flights. But sadly my return LH flights got cancelled and was rescheduled with SAS. But I noticed a qualitative difference between LH and SAS. My LH tickets were expensive by the way. And I was even a bit angry with LH because I wanted to avoid SAS and the like. The passengers in the economy class were packed like sardines. They had no choice of food. Food was minimal and miserable (i.e., for long-distance flight). I asked if I could have some water instead of tea/coffee but the woman pointed out to my almost empty bottle of water. Non-alcoholic drinks were bare minimum. No alcohol (unless one buys it). Compared to LH, SAS appears to be more like Ryanair. And of course there were other technical problems, delays, last-minute rescheduling, and so on. What is striking to me is what seems to be SAS’s ideology/policy of miserliness/stringencies/pettiness towards its customers: Extract the maximum from the customers by offering the bare minimum. I do/cannot not know. This may indeed guarantee the airline’s success and prosperity. As a lay person, one would have thought that small gestures of hospitality, generosity, and discretion would actually not damage the success of the airline. If I had a choice, I would never like to choose SAS. So sorry.",2023.0,12.0,Negative,2023-12,Winter,Boston,Copenhagen
22,Couple Leisure,Economy Class,Copenhagen to Heathrow,2023-11-01,5.0,5.0,3.0,1.0,5.0,3,yes,10.0," Nice modern aircraft and friendly crew throughout. Seemed well organised, I'd definitely use SAS again. Flight was on time and no schedule changes.",2023.0,11.0,Positive,2023-11,Fall,Copenhagen,Heathrow
23,Business,Business Class,Zurich to Bodo via Oslo,2023-12-01,3.0,3.0,2.0,1.0,2.0,1,no,2.0," Business class now more crowded and stressful to fly than economy. SAS in Norway particularly (but also Sweden) has this ridiculous policy of basically selling gold card membership to everyone. All you need is an Amex Card and a second Eurobonus credit card (total cost for the cards is 350 Euro per year), fly twice and bingo you have a gold card. Massive deflation effect on actual gold membership. And a total rip off for poor dummies still paying for business class tickets, thinking they confer any kind of comport privileges. When boarding you see a third or more of the passengers get on the plane during business class/gold boarding although there is only 6 rows of business class? Last time I flew from Bodo to Oslo. When I came onboard with my economy ticket, as the first person after business boarding, half the plane was full!! But only 7 rows of business class. So the privilege of early boarding is useless. Much more crowded when boarding during business boarding. In fact, all the privileges of a business class ticket is gone due to this policy. Long lines and fewer screening machines at priority security check. You can see the economy security line going much faster. Early boarding is more crowded than economy boarding. Sitting in SAS Oslo Airport Lounge is far more crowded, loud and stressful, than sitting in nice lounge chairs located at most gates. This lounge in particular can be quite a traumatic experience during peak hours....Hordes of children screaming and running around...sitting is more crowded than on the plane....way too warm... So paying for actual SAS business class ticket hasnt been worth the money for a long time. But now due to Gold card deflation it has become MORE expensive, LESS efficient, MORE stressful then economy.",2023.0,12.0,Negative,2023-12,Winter,Zurich,Bodo
24,Family Leisure,Economy Class,Hamburg to Copenhagen,2023-11-01,2.0,3.0,1.0,3.0,1.0,1,no,2.0,"  I took this airline on the morning of 11/25/23 to fly from Hamburg to Copenhagen. We arrived to the #9 kiosk for SAS at 7:15 AM for our 9:30 AM flight . There were approximately 12 passengers in line, most that belonged to a family group, and yet we were not attended to until 8:55 AM due to the staff incompetence. There was one crying female employee stating this was her first day and another extremely rude employee that arrived a bit later. The crying employee finally gave us our passes and checked our bulky luggage (later I found out she forgot to scan my passport) and sent me to the rude staff to pay fees. The staff ignored me for approximately 5 minutes and my plane was supposed to leave in half an hour. I told her this was unprofessional, and then she told me she won’t serve me. I asked what does she mean - I paid for a ticket and waited an hour and a half in a short line with a child ? At this point, I approached another employee for assistance and then the staff finally agreed to take my money. Neither employee had a name tag, neither gave me their name, both refused to give me the manager’s name and contact info. On the flight, the stewardess told me that SAS Hamburg always has problematic employees at the desk. Several of the passengers near me were angry because they paid to select their seat, in advance, but were assigned others right before flight. I would never again fly an airline that has people with this attitude in customer facing positions.",2023.0,11.0,Negative,2023-11,Fall,Hamburg,Copenhagen
25,Family Leisure,Economy Class,Copenhagen to San Francisco,2023-10-01,1.0,1.0,1.0,1.0,2.0,1,no,1.0,  I purchased the seat but they re-sold my seat to someone else and gave me an middle seat. suffered thru the trip and no refund when I asked for the purchased seat.,2023.0,10.0,Negative,2023-10,Fall,Copenhagen,San Francisco
26,Couple Leisure,Economy Class,Washington to Hamburg via Copenhagen,2023-10-01,1.0,1.0,1.0,2.0,3.0,1,no,1.0,"  SAS is by far the most hideous, cynical and humiliating airline out there.  It summarizes the idea of making the economy experience as miserable as possible, so next time you're willing to pay all kinds of upgrades. A humiliating concept with the goal to squeeze as much money as possible out of every flight to shovel a few more pennies to their shareholders. . Legroom is non existent. On an 11 hours transatlantic flight your knees are jammed between your's and the front seat. Except one tiny free drink with what they call meal (of course only non-alcoholic), they hold a credit-card terminal under your nose, even for a miniature-can of coke. Attached photo of the atrocity called ""dinner"" condenses their cynicism in a says-it-all image. Of course the luggage got lost and exactly no-one at SAS felt compelled to help relocating it. ""Not our problem."" It was delivered 4 days after our arrival. It comes with no surprise that up to now it is impossible to reach anyone for the modest compensation of $150 to bridge those 4 messed up vacation days with fresh underwear and a few care products for 2 people. This airline is an absolute disgrace. Avoid them like the plague.",2023.0,10.0,Negative,2023-10,Fall,Washington,Hamburg
27,Solo Leisure,Business Class,Manchester to Stockholm,2023-09-01,4.0,4.0,3.0,3.0,1.0,1,no,2.0,   Where to start Check in was good There is no use of a lounge in Manchester Flight was 2.50 late Everyone's Luggage was off loaded at Manchester due to a fault in the hold. Customer services in Stockholm just handed us a card to do the delayed luggage ourselves  No ownership  The only person who showed any concern was baggage manager. I emailed Customer services who just gave a standard answer and CEO who has not replied. The Customer services director who I spoke to by tel was utterly disinterested I did get my bag 24 hours later SAS have not even had the courtesy of replying to me. On a positive the crew were friendly and efficient This is simply the worst customer service I have ever received from an airline I guess they will read this and shrug their shoulders I will be astonished if they reach out but I live in hope. I truly dislike writing such a negative review but it had to be done,2023.0,9.0,Neutral,2023-09,Fall,Manchester,Stockholm
28,Solo Leisure,Economy Class,Rome to London via Copenhagen,2023-07-01,3.0,4.0,1.0,1.0,1.0,1,no,1.0,"  Never check a bag onto a SAS flight, unless you have the means to replace all of it. I flew SAS from Rome to London. I landed in Heathrow with the clothes on my back, after they left my baggage behind at the layover city, and I had another 7 weeks of travel ahead of me. Everything I had in that bag was basically new, some still with tags. Even the suitcase was new. They literally gaslight you, having you fill out spreadsheets, down to the color, brand, cost, place of purchase of socks. They said they need that in order to ""identify"" my luggage. Then, they have you do it again for the claim. Then, 3 months later, they gave me 400, which basically covered the suitcase. They never even refunded the baggage fee. You may as well pick up a second job to make up for the lost money, after you were forced to spend your holiday at shopping at the mall, on top of the hours spend filling out forms and uploading receipts, only to be insulted in the end.",2023.0,7.0,Neutral,2023-07,Summer,Rome,London
29,Couple Leisure,Economy Class,Manchester to Oslo,2023-10-01,3.0,1.0,1.0,1.0,1.0,1,no,1.0,  I recently booked flights with SAS and received an email to say my flight had changed. When on the ‘my booking’ section there were no suitable options so I was left with no other choice but to cancel my flight. I was then only refunded 10% of the flight as after cancelling only at this point was I advised that the flight was only moved by 5 minutes but I was advised that the flight had moved by a day. I then asked for the flight to be uncanceled and I was advised ‘it’s your fault your problem you must pay’. Very disgusted with this service and will never use SAS ever again.,2023.0,10.0,Negative,2023-10,Fall,Manchester,Oslo
30,Solo Leisure,Economy Class,Paris to Larnaca via Oslo,2023-08-01,5.0,5.0,4.0,3.0,4.0,1,no,1.0," I took a flight from Paris to Larnaca via Oslo. As I arrived in Cyprus my suitcase did not. After waiting for the woman for one hour who was responsible for this flight company SAS, I got a phone number of the person who is in charge for giving an update for lost items (during all this time we had a car booked from car sharing - so we needed to spend money during this time). At no time of a day somebody was answering the phone. A week later I needed to take a car from the car sharing to go to the airport to finally receive some information but they had still no idea. For 13 days there were no news, no location of the suitcase, no hint that it is not stolen. A hell for me because there were things inside with high value for me. The first time I knew that it is still existing was because of a personal call from Oslo that they will send my suitcase to Cyprus. This call just happened because my number was on a sign on the suitcase. In general, I had to wait 15 days until my suitcase was arriving. In the end SAS takes no costs at all. Neither they care about the extra stuff I needed to buy (cosmetics, bikini) nor the uncomfortable feeling I had nor they pay the extra costs I had because of the car sharing to fight for information they owed me. All that because I paid for a flight with a good service. Is it not a little bit ironic? The service is for a flight company which is defining itself not to be part of a cheap one, is really bad. I gave money to SAS for not doing their job correctly, losing my suitcase and not being a help at all. They do not even try to be sorry. Whenever it is possible, it is better to avoid SAS! They do not care about their customers, the trouble they cause or the mistakes they are doing. Never had such a careless and disappointing service.",2023.0,8.0,Negative,2023-08,Summer,Paris,Larnaca
31,Couple Leisure,Economy Class,Oslo  to Tromso ,2023-08-01,3.0,1.0,1.0,1.0,1.0,1,no,2.0,"  Having read other people’s reviews, it seems like we are a growing club. We flew to Tromso and our two suitcases never arrived. Immediately we went to the counter and our luggage as missing. Expected it to arrive the following day. Five weeks on, numerous phone calls and a few emails, still no luggage. The numbers listed on their website either don’t answer or you are told that is another department. New number, same result. We have given a description of the contents but since then, not even a polite update. We did not start a claim within 21 days, foolishly believing it would still turn up. Told initially to contact our travel insurance. I don’t want the money, I want my belongings that are the accumulation of years of travel and finding just the right accessory or gadget. Things get misplaced, but their lack of interest or professionalism is unbelievable.",2023.0,8.0,Neutral,2023-08,Summer,Oslo ,Tromso 
32,Solo Leisure,Economy Class,Stockholm to Copenhagen,2023-09-01,2.0,2.0,2.0,1.0,1.0,1,no,1.0,  My flight was delayed 9 hours. After contact with SAS Customer support I am assured that my expenses will be compensated. When I file for compensation I accept to received Eurobonus points instead of money. Never do that! SAS compensated me with 1 eurobonus point per SEK expenses which is nearby to nothing. I feel tricked and robbed by SAS. Their Customer Service keep replying with gobberish waiting my time. So not only a terrible flight experience but also extra expensive for me.,2023.0,9.0,Positive,2023-09,Fall,Stockholm,Copenhagen
33,Business,Business Class,Frankfurt to Los Angeles via Copenhagen,2023-09-01,4.0,5.0,5.0,1.0,4.0,4,yes,8.0,"  It was a good flight - nice new plane. Due to the fact that the plane came late in from Washington we had a delay of about 2:30 hrs. Which was ok, because we had been informed early enough. Unfortunately the plane wasn’t that clean when we entered. Crew was very friendly - food was super and the business class seat is very good with space and privacy. The blanket is one of the best I ever had. The inflight entertainment has a good screen and is very logical when you use it -but : if you go today on a 10:30 hrs flight you can expect a good selection of movies - this was by far the worst selection I ever had . The newest movie was from 2020 and only 30 movies to select - incl all Harry Potter films. If they change this I would fly more often with them .",2023.0,9.0,Positive,2023-09,Fall,Frankfurt,Los Angeles
